3305900000 3304990010  0.07830613585402811 3304990099  0.026464102771857723 3304100090  0.026044239000244385 3305900000  0.02485666748636982 3307300000  0.015068385459253904 ,1
2202900099 3304990010  0.03453873906529186 1905900000  0.02589725791651411 3924100000  0.020035877071567086 1904100000  0.019693082099497026 2202900099  0.018868166932775488 ,1
2106909090 3304990010  0.029681427657830023 1704900000  0.019038471009007952 3924100000  0.018742928075492573 3304300000  0.016134694679117566 2202900099  0.01333780354695314 ,0
1901109000 3304990010  0.027885442480151342 1905900000  0.02783068815952131 1905310000  0.0267940431673034 1901109000  0.02261691102930564 3924100000  0.01746766356548667 ,1
1901101000 1901101000  0.9911399097738189 1901900000  4.282990028461415E-4 3304990010  1.2148051661344623E-4 3924100000  1.1925540581253104E-4 1515909090  1.1736300508592451E-4 ,1
2106909090 3304990010  0.04132170973180576 3926909090  0.03772504447974623 9619001000  0.034967398572619005 6115960019  0.03425298901969503 6108920010  0.02379011105009689 ,0
3304990010 3304990010  0.06594154155874311 6111200050  0.03123394671938644 3307300000  0.029417852041706796 9619001010  0.023605522867671765 9404909000  0.019580776122529363 ,1
3305100090 3305900000  0.040221938947783864 3304990010  0.02521175304535005 3304990099  0.01779360256167736 3924100000  0.01765963831602601 3305100090  0.01441615006373854 ,1
2106909090 3304990010  0.03440017618078594 3924100000  0.022291639227333286 3304990099  0.020073915335088392 3304100090  0.014679539594262268 1904100000  0.014678946686214762 ,0
9619001000 9619002000  0.05672831656229525 1905900000  0.03037310883361084 3401199000  0.02822244512539894 3307900000  0.027572305259164077 9619001000  0.026205302135774697 ,1
2106909090 3304990010  0.06781226495479963 3307300000  0.0272894111634634 3402209000  0.025362904526021312 3305900000  0.021626219867691508 2202900099  0.019927173344080996 ,0
1901101000 1901101000  0.16413859110073117 3304990010  0.019980771989187723 9603210000  0.014155606541837824 3924100000  0.013340321159990025 1901109000  0.01291708752501306 ,1
1904100000 3304990010  0.04036387330052551 3924100000  0.022499279131351115 3304990099  0.02114796514577029 1904100000  0.018428614872265194 3402209000  0.014631056085662819 ,1
9617001910 3304990010  0.032368887825620724 9617009000  0.029590989634202834 3924100000  0.018578155028845005 9617001910  0.018313259415813604 3304990099  0.01724990795160539 ,1
1901101000 1901101000  0.6138651551691812 1905900000  0.012731792760249237 1904100000  0.011254820098429964 3304990010  0.009080781012370639 1901109000  0.007709996538406819 ,1
3304990010 3304990010  0.040929263912745116 3924100000  0.022609456418008725 3304990099  0.021745589746441096 3402209000  0.014809576651795305 1904100000  0.014741029987211376 ,1
1905310000 1905310000  0.0502254352879494 1904100000  0.04742638756699703 1806320000  0.03888173033984989 1806900000  0.024867495151230476 1806310000  0.020921405380090612 ,1
8212100000 3304990010  0.04025964449188101 3924100000  0.022635366095429234 3304990099  0.021770205243842544 3402209000  0.014832400894637691 1904100000  0.014751275410828671 ,0
2106909090 3304990010  0.03863477472340477 3924100000  0.02155738847557039 3304990099  0.01972174356969632 1704900000  0.014555614366449927 3402209000  0.01436577811786612 ,0
9617001910 3304990010  0.0401611499111374 3304990099  0.02104002197592163 3924100000  0.019710447670289608 1904100000  0.014542374640153679 9617009000  0.01430065540131299 ,0
